time,node,valid,tracked,px,py,pz,qx,qy,qz,qw,trigger,axisX,axisY
428.727,Head,True,True,-0.02060664,0.05823183,0.1341395,-0.1755083,-0.1297169,-0.01648724,0.9757554,0,0,0
428.727,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
428.727,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
428.937,Head,True,True,-0.02088205,0.05799305,0.1341983,-0.1747616,-0.1312553,-0.01643421,0.9756846,0,0,0
428.937,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
428.937,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
429.145,Head,True,True,-0.01919145,0.0592171,0.1334911,-0.1782181,-0.1268418,-0.01550444,0.9756583,0,0,0
429.145,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
429.145,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
429.359,Head,True,True,-0.01923221,0.05894029,0.133004,-0.1768584,-0.1285879,-0.01696539,0.9756528,0,0,0
429.359,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
429.359,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
429.560,Head,True,True,-0.01919942,0.05866122,0.1329395,-0.1768882,-0.1303829,-0.01779006,0.9753945,0,0,0
429.560,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
429.560,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
429.762,Head,True,True,-0.01753165,0.0582391,0.1336998,-0.1758499,-0.1274094,-0.0186369,0.9759592,0,0,0
429.762,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
429.762,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
429.968,Head,True,True,-0.01688532,0.05813348,0.134084,-0.1756051,-0.1266594,-0.01951574,0.9760837,0,0,0
429.968,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
429.968,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
430.175,Head,True,True,-0.01691962,0.05811882,0.1343006,-0.1753629,-0.126029,-0.01959662,0.9762072,0,0,0
430.175,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
430.175,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
430.381,Head,True,True,-0.01711239,0.05810893,0.1342044,-0.1749349,-0.1247803,-0.01816777,0.976472,0,0,0
430.381,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
430.381,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
430.587,Head,True,True,-0.01668772,0.05894578,0.1332752,-0.1761375,-0.1248429,-0.01907696,0.9762305,0,0,0
430.587,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
430.587,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
430.801,Head,True,True,-0.01701728,0.05824292,0.1337305,-0.1730389,-0.1226147,-0.01698218,0.9771053,0,0,0
430.801,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
430.801,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
431.007,Head,True,True,-0.01730285,0.05787957,0.1343352,-0.1722532,-0.1234056,-0.01791609,0.9771279,0,0,0
431.007,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
431.007,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
431.215,Head,True,True,-0.01571322,0.05783582,0.1344485,-0.1718333,-0.1211118,-0.01864716,0.9774751,0,0,0
431.215,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
431.215,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
431.428,Head,True,True,-0.01481021,0.05763245,0.134082,-0.1709244,-0.1200667,-0.01973318,0.977742,0,0,0
431.428,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
431.428,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
431.637,Head,True,True,-0.01490532,0.05697358,0.1339272,-0.1700292,-0.1213646,-0.0204151,0.9777239,0,0,0
431.637,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
431.637,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
431.842,Head,True,True,-0.01484702,0.05689895,0.1330107,-0.169804,-0.1232161,-0.02338655,0.9774649,0,0,0
431.842,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
431.842,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
432.046,Head,True,True,-0.01448929,0.05797696,0.130766,-0.1722354,-0.1236045,-0.02373897,0.9769818,0,0,0
432.046,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
432.046,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
432.260,Head,True,True,-0.01379668,0.058851,0.1296306,-0.1744221,-0.1219029,-0.02428905,0.9767941,0,0,0
432.260,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
432.260,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
432.460,Head,True,True,-0.01401635,0.05868173,0.1304566,-0.1752685,-0.1222635,-0.02514451,0.9765759,0,0,0
432.460,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
432.460,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
432.672,Head,True,True,-0.01299981,0.05945253,0.1307743,-0.1782853,-0.120356,-0.02695557,0.9762183,0,0,0
432.672,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
432.672,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
432.883,Head,True,True,-0.01294756,0.0592078,0.1308228,-0.1780753,-0.1195825,-0.02665408,0.97636,0,0,0
432.883,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
432.883,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
433.087,Head,True,True,-0.01228604,0.05920029,0.1312247,-0.1785795,-0.1178851,-0.02724019,0.9764581,0,0,0
433.087,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
433.087,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
433.297,Head,True,True,-0.01446472,0.05996096,0.1311959,-0.1803575,-0.1241155,-0.02782595,0.9753421,0,0,0
433.297,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
433.297,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
433.530,Head,True,True,-0.01912856,0.06219041,0.1284791,-0.1869291,-0.1338761,-0.02311826,0.9729338,0,0,0
433.530,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
433.530,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
433.746,Head,True,True,-0.02151765,0.06504083,0.1248199,-0.194223,-0.138964,-0.02267318,0.9707999,0,0,0
433.746,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
433.746,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
433.947,Head,True,True,-0.02075882,0.0654434,0.1240226,-0.1950196,-0.1368144,-0.02180041,0.9709655,0,0,0
433.947,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
433.947,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
434.151,Head,True,True,-0.02100806,0.06577396,0.1233803,-0.1953076,-0.137137,-0.02121006,0.9708751,0,0,0
434.151,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
434.151,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
434.355,Head,True,True,-0.02243032,0.06545365,0.1226819,-0.1923802,-0.1374268,-0.01758149,0.9714909,0,0,0
434.355,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
434.355,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
434.567,Head,True,True,-0.02163959,0.06540251,0.1224744,-0.1918398,-0.1354939,-0.01817039,0.9718584,0,0,0
434.567,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
434.567,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
434.767,Head,True,True,-0.02161079,0.06584513,0.121773,-0.1935643,-0.1339081,-0.01762574,0.9717463,0,0,0
434.767,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
434.767,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
434.973,Head,True,True,-0.02096714,0.06633759,0.1205189,-0.1949802,-0.1328376,-0.01748345,0.9716127,0,0,0
434.973,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
434.973,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
435.179,Head,True,True,-0.01999298,0.06650412,0.1200112,-0.1951214,-0.1305279,-0.01745784,0.9718978,0,0,0
435.179,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
435.179,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
435.395,Head,True,True,-0.02015428,0.06613302,0.1200286,-0.1948898,-0.1315961,-0.01727758,0.9718034,0,0,0
435.395,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
435.395,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
435.595,Head,True,True,-0.01966221,0.0658921,0.1206902,-0.1944962,-0.129802,-0.01715217,0.9721258,0,0,0
435.595,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
435.595,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
435.810,Head,True,True,-0.01897875,0.06594968,0.1207438,-0.1941997,-0.1288357,-0.01690627,0.9723179,0,0,0
435.810,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
435.810,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
436.012,Head,True,True,-0.01843482,0.06574333,0.1209957,-0.1934748,-0.1281916,-0.01639534,0.9725562,0,0,0
436.012,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
436.012,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
436.223,Head,True,True,-0.01869281,0.06554699,0.1215231,-0.1939238,-0.1286963,-0.01695801,0.9723905,0,0,0
436.223,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
436.223,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
436.427,Head,True,True,-0.01848391,0.0655179,0.1215743,-0.1942057,-0.1287159,-0.01596829,0.9723484,0,0,0
436.427,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
436.427,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
436.629,Head,True,True,-0.01786674,0.06539214,0.1215699,-0.1936886,-0.1281835,-0.0160185,0.972521,0,0,0
436.629,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
436.629,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
436.836,Head,True,True,-0.01832128,0.06596339,0.1215084,-0.1952077,-0.1287761,-0.0165295,0.9721304,0,0,0
436.836,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
436.836,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
437.047,Head,True,True,-0.0182854,0.06619823,0.1215301,-0.1957615,-0.1268155,-0.01466154,0.9723067,0,0,0
437.047,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
437.047,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
437.258,Head,True,True,-0.01771124,0.06556129,0.1216357,-0.1946892,-0.125135,-0.01514595,0.9727322,0,0,0
437.258,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
437.258,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
