time,node,valid,tracked,px,py,pz,qx,qy,qz,qw,trigger,axisX,axisY
2870.245,LeftHand,True,True,0,0,0,-0.4126466,0.4882165,-0.2120197,0.7391989,0,0,0
2870.245,RightHand,True,True,0,0,0,-0.3957238,0.4463458,-0.3728333,0.7107555,0,0,0
2870.446,Head,True,True,0.351419,0.1202971,-0.4475392,-0.6580288,-0.02778379,0.6709661,-0.3406326,0,0,0
2870.446,LeftHand,True,True,0,0,0,-0.4126466,0.4882165,-0.2120197,0.7391989,0,0,0
2870.446,RightHand,True,True,0,0,0,-0.3957238,0.4463458,-0.3728333,0.7107555,0,0,0
2870.675,Head,True,True,0.3518451,0.1204534,-0.4476157,-0.655789,-0.02975163,0.6705242,-0.3456197,0,0,0
2870.675,LeftHand,True,True,0,0,0,-0.4126466,0.4882165,-0.2120197,0.7391989,0,0,0
2870.675,RightHand,True,True,0,0,0,-0.3957238,0.4463458,-0.3728333,0.7107555,0,0,0
2870.876,Head,True,True,0.352293,0.1206176,-0.4476961,-0.6534116,-0.03182849,0.6700342,-0.3508481,0,0,0
2870.876,LeftHand,True,True,0,0,0,-0.4126466,0.4882165,-0.2120197,0.7391989,0,0,0
2870.876,RightHand,True,True,0,0,0,-0.3957238,0.4463458,-0.3728333,0.7107555,0,0,0
2871.085,Head,True,True,0.3527783,0.1207957,-0.4477831,-0.6508089,-0.03408835,0.6694744,-0.3564964,0,0,0
2871.085,LeftHand,True,True,0,0,0,-0.4126466,0.4882165,-0.2120197,0.7391989,0,0,0
2871.085,RightHand,True,True,0,0,0,-0.3957238,0.4463458,-0.3728333,0.7107555,0,0,0
2871.313,Head,True,True,0.3532337,0.1209627,-0.4478648,-0.6483417,-0.03621775,0.6689216,-0.3617809,0,0,0
2871.313,LeftHand,True,True,0,0,0,-0.4126466,0.4882165,-0.2120197,0.7391989,0,0,0
2871.313,RightHand,True,True,0,0,0,-0.3957238,0.4463458,-0.3728333,0.7107555,0,0,0
2871.528,Head,True,True,0.3536143,0.1211023,-0.4479331,-0.6462609,-0.03800399,0.668439,-0.3661858,0,0,0
2871.528,LeftHand,True,True,0,0,0,-0.4126466,0.4882165,-0.2120197,0.7391989,0,0,0
2871.528,RightHand,True,True,0,0,0,-0.3957238,0.4463458,-0.3728333,0.7107555,0,0,0
2871.744,Head,True,True,0.3540602,0.1212659,-0.4480131,-0.6438019,-0.04010396,0.6678499,-0.3713319,0,0,0
2871.744,LeftHand,True,True,0,0,0,-0.4126466,0.4882165,-0.2120197,0.7391989,0,0,0
2871.744,RightHand,True,True,0,0,0,-0.3957238,0.4463458,-0.3728333,0.7107555,0,0,0
2871.964,Head,True,True,0.3545694,0.1214526,-0.4481044,-0.6409659,-0.04251127,0.667146,-0.3771892,0,0,0
2871.964,LeftHand,True,True,0,0,0,-0.4126466,0.4882165,-0.2120197,0.7391989,0,0,0
2871.964,RightHand,True,True,0,0,0,-0.3957238,0.4463458,-0.3728333,0.7107555,0,0,0
2872.166,Head,True,True,0.3549775,0.1216023,-0.4481776,-0.6386713,-0.04444825,0.6665576,-0.3818696,0,0,0
2872.166,LeftHand,True,True,0,0,0,-0.4126466,0.4882165,-0.2120197,0.7391989,0,0,0
2872.166,RightHand,True,True,0,0,0,-0.3957238,0.4463458,-0.3728333,0.7107555,0,0,0
2872.370,Head,True,True,0.3553917,0.1217542,-0.448252,-0.636323,-0.04642039,0.6659384,-0.3866059,0,0,0
2872.370,LeftHand,True,True,0,0,0,-0.4126466,0.4882165,-0.2120197,0.7391989,0,0,0
2872.370,RightHand,True,True,0,0,0,-0.3957238,0.4463458,-0.3728333,0.7107555,0,0,0
2872.591,Head,True,True,0.3557717,0.1218936,-0.4483201,-0.6341511,-0.0482356,0.6653509,-0.3909398,0,0,0
2872.591,LeftHand,True,True,0,0,0,-0.4126466,0.4882165,-0.2120197,0.7391989,0,0,0
2872.591,RightHand,True,True,0,0,0,-0.3957238,0.4463458,-0.3728333,0.7107555,0,0,0
2872.799,Head,True,True,0.356258,0.122072,-0.4484074,-0.6313479,-0.05056629,0.6645718,-0.3964683,0,0,0
2872.799,LeftHand,True,True,0,0,0,-0.4126466,0.4882165,-0.2120197,0.7391989,0,0,0
2872.799,RightHand,True,True,0,0,0,-0.3957238,0.4463458,-0.3728333,0.7107555,0,0,0
